ParName   Value   Gradient
Fcast_recruitments(2026)            0            0
Q_parm[1]     -6.45784 -0.000218818
Q_parm[2]    -0.188546 -0.000679356
Q_parm[3]     -1.15376 -7.58926e-005
Q_parm[4]    -0.875155 -8.38088e-005
Q_parm[6]       0.1624 -3.12677e-005
Q_parm[8]     0.184158 -1.00741e-005
Q_parm[10]     0.508819 -1.18709e-005
Q_parm[13]     0.634646 3.06901e-005
selparm[1]       47.466   -0.0062485
selparm[3]      3.96232    0.0072375
selparm[7]      26.3112  0.000210471
selparm[8]      1.64777  0.000175286
selparm[9]     0.999915 -0.000124368
selparm[11]      -9.2119 -0.000349364
selparm[12]     -1.14102   0.00148458
selparm[16]      53.4968   -0.0224242
selparm[18]      5.35152    0.0526396
selparm[22]      30.6945   0.00544745
selparm[23]       1.2404    0.0016294
selparm[24]            1 -8.03527e-006
selparm[26]     -13.8282  -0.00247284
selparm[27]     -1.94374    0.0134304
selparm[31]      41.3514   -0.0155581
selparm[33]      4.62034    0.0145532
selparm[37]      28.9027   0.00577657
selparm[38]      1.54093   0.00101563
selparm[39]       0.9831  -0.00233507
selparm[41]     -14.9943 -0.000108982
selparm[42]     -2.56165   0.00460669
selparm[46]      42.9024   -0.0292517
selparm[48]      4.76609    0.0346514
selparm[52]      28.9757   0.00960764
selparm[53]      1.17852   0.00153636
selparm[54]            1 -9.30226e-006
selparm[56]     -10.7584  -0.00437946
selparm[57]     -1.50387    0.0153775
selparm[61]      35.2801 7.57061e-007
selparm[63]      4.23211 4.07658e-005
selparm[67]     -3.63836 -2.97513e-006
selparm[68]    -0.519843 2.78155e-005
selparm[72]      36.5368 -6.62655e-005
selparm[74]      4.63694  0.000168518
selparm[78]     -2.74121 -7.06957e-005
selparm[79]    -0.112425  0.000146035
selparm[83]      43.0595 -0.000282676
selparm[85]      5.17676  0.000661141
selparm[89]     -5.63635 -8.16398e-005
selparm[90]    -0.457107  0.000612636
selparm[94]    -0.688117  -0.00199605
selparm[95]     -2.45418  -0.00105362
selparm[96]     -1.92855 -0.000275787
selparm[97]    -0.917012 -0.000148276
selparm[98]    -0.578669 -9.16264e-005
selparm[99]     -2.98356 -2.4855e-005
selparm[100]      5.08283 -2.34034e-006
selparm[101]    -0.305932 5.60663e-005
selparm[102]     0.346139  -1.934e-005
selparm[103]     0.486076  2.7798e-005
selparm[104]    -0.800705 9.46214e-006
selparm[105]     0.999392 3.16112e-005
selparm[106]     0.815769 5.87295e-005
selparm[107]     0.999933 2.98974e-005
selparm[108]     -1.97654  -0.00486622
selparm[109]     -5.51533  -0.00249103
selparm[110]     -5.56964 -0.000603497
selparm[111]      -3.5383 -0.000166419
selparm[112]     -1.21987 -2.47245e-005
selparm[113]     -0.10265 5.66049e-005
