Area,Bio_Pattern,Gender,BirthSeas,SubMorph,Morph,Yr,Seas,Time,Beg/Mid,Era,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,1,1,1,1,1,1887,1,1887.5,M,TIME,6815.4,5925.23,5151.28,4478.22,3892.5,3382.44,2938.25,2551.77,2215.97,1924.51,1671.67,1452.35,1262.06,1096.9,953.475,828.865,720.568,626.43,544.595,473.453,411.605,357.837,311.093,270.455,235.126,204.411,177.709,154.495,134.314,116.768,101.515,88.2544,76.7258,66.7032,57.9899,50.4147,43.8291,38.1038,33.1263,28.7991,191.667
1,1,1,1,1,1,1888,1,1888,B,TIME,7309.37,6354.69,5524.69,4803.04,4175.31,3628.77,3152.63,2738.03,2377.5,2064.44,1792.85,1557.29,1352.98,1175.71,1021.85,888.237,772.153,671.265,583.569,507.333,441.059,383.443,333.353,289.808,251.95,219.038,190.425,165.55,143.925,125.124,108.779,94.5693,82.2159,71.4761,62.1393,54.0221,46.9653,40.8303,35.4967,30.8598,205.381
1,1,1,1,1,1,1888,1,1888.5,M,TIME,6815.26,5925.12,5151.19,4478.13,3892.33,3382.08,2937.6,2550.8,2214.7,1923,1670,1450.58,1260.27,1095.15,951.828,827.371,719.242,625.267,543.58,472.568,410.835,357.168,310.511,269.949,234.685,204.029,177.377,154.206,134.062,116.55,101.325,88.089,76.5821,66.5783,57.8812,50.3203,43.747,38.0324,33.0643,28.7451,191.308
1,1,1,1,1,1,1889,1,1889,B,TIME,7309.21,6354.56,5524.58,4802.95,4175.2,3628.53,3152.15,2737.23,2376.38,2063.05,1791.25,1555.56,1351.18,1173.91,1020.1,886.605,770.676,669.956,582.421,506.332,440.186,382.683,332.693,289.233,251.451,218.604,190.048,165.222,143.639,124.876,108.563,94.3818,82.0528,71.3343,62.016,53.915,46.8721,40.7493,35.4263,30.7986,204.974
1,1,1,1,1,1,1889,1,1889.5,M,TIME,6815.12,5925,5151.09,4478.02,3892.15,3381.7,2936.94,2549.82,2213.42,1921.49,1668.32,1448.81,1258.45,1093.35,950.095,825.759,717.787,623.979,542.451,471.583,409.977,356.421,309.861,269.384,234.194,203.602,177.005,153.883,133.782,116.306,101.113,87.9046,76.4217,66.4388,57.76,50.2149,43.6554,37.9528,32.995,28.6849,190.907
1,1,1,1,1,1,1890,1,1890,B,TIME,7309.06,6354.42,5524.47,4802.85,4175.07,3628.29,3151.66,2736.41,2375.24,2061.64,1789.65,1553.83,1349.38,1172.09,1018.31,884.892,769.089,668.527,581.157,505.224,439.22,381.841,331.96,288.596,250.897,218.122,189.629,164.858,143.323,124.6,108.324,94.1737,81.8719,71.1771,61.8793,53.7961,46.7688,40.6594,35.3482,30.7307,204.522
1,1,1,1,1,1,1890,1,1890.5,M,TIME,6814.97,5924.87,5150.98,4477.91,3891.95,3381.31,2936.26,2548.82,2212.13,1919.97,1666.65,1447.04,1256.64,1091.53,948.322,824.073,716.229,622.578,541.213,470.5,409.032,355.597,309.144,268.76,233.652,203.13,176.596,153.527,133.472,116.037,100.879,87.7011,76.2448,66.285,57.6263,50.0986,43.5543,37.8649,32.9186,28.6185,190.465
1,1,1,1,1,1,1891,1,1891,B,TIME,7308.9,6354.29,5524.35,4802.75,4174.94,3628.03,3151.15,2735.59,2374.08,2060.21,1788.03,1552.1,1347.58,1170.27,1016.51,883.143,767.433,667.002,579.788,504.015,438.162,380.919,331.156,287.896,250.288,217.593,189.169,164.458,142.975,124.298,108.061,93.9453,81.6733,71.0044,61.7292,53.6656,46.6553,40.5608,35.2624,30.6561,204.026
1,1,1,1,1,1,1891,1,1891.5,M,TIME,6814.83,5924.74,5150.87,4477.78,3891.75,3380.91,2935.57,2547.81,2210.82,1918.43,1664.95,1445.26,1254.82,1089.71,946.537,822.352,714.607,621.089,539.878,469.321,408.001,354.698,308.361,268.079,233.06,202.615,176.148,153.137,133.133,115.742,100.623,87.4785,76.0513,66.1168,57.48,49.9715,43.4438,37.7688,32.8351,28.5459,189.981
1,1,1,1,1,1,1892,1,1892,B,TIME,7308.76,6354.15,5524.23,4802.64,4174.8,3627.76,3150.63,2734.74,2372.92,2058.78,1786.4,1550.35,1345.77,1168.44,1014.7,881.382,765.745,665.417,578.336,502.715,437.015,379.916,330.282,287.135,249.626,217.017,188.668,164.022,142.596,123.969,107.775,93.6964,81.4569,70.8163,61.5656,53.5234,46.5317,40.4533,35.169,30.5749,203.485
1,1,1,1,1,1,1892,1,1892.5,M,TIME,6814.69,5924.62,5150.76,4477.66,3891.53,3380.51,2934.87,2546.78,2209.49,1916.88,1663.25,1443.47,1253,1087.89,944.749,820.62,712.955,619.543,538.466,468.058,406.888,353.725,307.513,267.34,232.417,202.056,175.661,152.715,132.766,115.423,100.345,87.237,75.8413,65.9343,57.3213,49.8335,43.3238,37.6645,32.7444,28.4671,189.457
1,1,1,1,1,1,1893,1,1893,B,TIME,7308.62,6354.03,5524.12,4802.53,4174.66,3627.48,3150.11,2733.89,2371.74,2057.33,1784.76,1548.59,1343.96,1166.62,1012.89,879.618,764.047,663.804,576.832,501.344,435.791,378.837,329.339,286.313,248.91,216.394,188.126,163.551,142.187,123.613,107.465,93.4273,81.223,70.6129,61.3888,53.3696,46.398,40.3371,35.0679,30.487,202.9
1,1,1,1,1,1,1893,1,1893.5,M,TIME,6814.57,5924.5,5150.65,4477.53,3891.32,3380.09,2934.17,2545.74,2208.16,1915.31,1661.54,1441.67,1251.17,1086.07,942.958,818.885,711.294,617.972,537.005,466.729,405.702,352.681,306.6,266.545,231.724,201.453,175.137,152.259,132.369,115.078,100.046,86.9766,75.615,65.7374,57.1502,49.6848,43.1945,37.5521,32.6467,28.3821,188.891
1,1,1,1,1,1,1894,1,1894,B,TIME,7308.51,6353.91,5524.01,4802.42,4174.52,3627.21,3149.58,2733.03,2370.55,2055.86,1783.1,1546.82,1342.13,1164.78,1011.08,877.852,762.346,662.183,575.305,499.928,434.504,377.69,328.33,285.431,248.141,215.725,187.544,163.045,141.746,123.23,107.133,93.1379,80.9714,70.3942,61.1986,53.2043,46.2543,40.2122,34.9593,30.3926,202.272
1,1,1,1,1,1,1894,1,1894.5,M,TIME,6814.46,5924.39,5150.54,4477.4,3891.1,3379.68,2933.45,2544.7,2206.81,1913.74,1659.81,1439.86,1249.32,1084.24,941.165,817.149,709.63,616.393,535.523,465.358,404.458,351.573,305.626,265.694,230.982,200.808,174.575,151.77,131.945,114.709,99.7244,86.6975,75.3722,65.5264,56.9668,49.5253,43.0558,37.4315,32.5419,28.291,188.285
1,1,1,1,1,1,1895,1,1895,B,TIME,7308.43,6353.81,5523.91,4802.32,4174.37,3626.93,3149.04,2732.16,2369.35,2054.39,1781.44,1545.04,1340.29,1162.93,1009.26,876.084,760.643,660.559,573.77,498.491,433.179,376.49,327.262,284.492,247.321,215.01,186.922,162.504,141.276,122.821,106.777,92.8285,80.7024,70.1603,60.9953,53.0275,46.1006,40.0785,34.8431,30.2916,201.599
1,1,1,1,1,1,1895,1,1895.5,M,TIME,6814.38,5924.3,5150.44,4477.28,3890.88,3379.26,2932.73,2543.65,2205.46,1912.15,1658.07,1438.03,1247.47,1082.39,939.364,815.41,707.964,614.812,534.033,463.968,403.179,350.416,304.597,264.789,230.193,200.119,173.976,151.249,131.491,114.315,99.3818,86.3996,75.1133,65.3013,56.771,49.3551,42.9079,37.3029,32.43,28.1937,187.638
1,1,1,1,1,1,1896,1,1896,B,TIME,7308.37,6353.74,5523.82,4802.23,4174.24,3626.65,3148.5,2731.29,2368.14,2052.91,1779.76,1543.24,1338.44,1161.07,1007.43,874.307,758.938,658.934,572.233,497.048,431.836,375.256,326.148,283.502,246.451,214.25,186.26,161.928,140.774,122.385,106.398,92.4991,80.4159,69.9113,60.7788,52.8393,45.937,39.9363,34.7194,30.1841,200.884
1,1,1,1,1,1,1896,1,1896.5,M,TIME,6814.33,5924.23,5150.36,4477.17,3890.67,3378.83,2932.01,2542.58,2204.09,1910.55,1656.32,1436.2,1245.6,1080.54,937.551,813.661,706.295,613.227,532.54,462.571,401.882,349.227,303.525,263.837,229.356,199.389,173.34,150.695,131.01,113.896,99.0175,86.0829,74.8379,65.0619,56.5629,49.1741,42.7506,37.1661,32.3111,28.0904,186.95
1,1,1,1,1,1,1897,1,1897,B,TIME,7308.35,6353.69,5523.76,4802.15,4174.11,3626.37,3147.96,2730.4,2366.92,2051.41,1778.07,1541.43,1336.58,1159.2,1005.59,872.518,757.222,657.303,570.691,495.601,430.485,374.005,325.003,282.471,245.536,213.447,185.559,161.316,140.243,121.922,105.995,92.1492,80.1118,69.6468,60.5489,52.6394,45.7632,39.7852,34.5881,30.0699,200.124
1,1,1,1,1,1,1897,1,1897.5,M,TIME,6814.31,5924.18,5150.29,4477.06,3890.47,3378.42,2931.28,2541.52,2202.72,1908.94,1654.55,1434.35,1243.72,1078.67,935.728,811.903,704.617,611.64,531.045,461.171,400.578,348.023,302.425,262.847,228.479,198.619,172.668,150.11,130.5,113.452,98.6318,85.7475,74.5464,64.8084,56.3425,48.9825,42.584,37.0213,32.1852,27.9809,186.221
1,1,1,1,1,1,1898,1,1898,B,TIME,7308.38,6353.67,5523.71,4802.08,4173.99,3626.1,3147.42,2729.52,2365.7,2049.91,1776.37,1539.61,1334.7,1157.32,1003.74,870.722,755.5,655.667,569.149,494.153,429.133,372.75,323.845,281.415,244.587,212.606,184.821,160.672,139.681,121.434,105.571,91.7798,79.7906,69.3676,60.3061,52.4284,45.5797,39.6256,34.4494,29.9493,199.321
1,1,1,1,1,1,1898,1,1898.5,M,TIME,6814.34,5924.17,5150.25,4476.98,3890.27,3378,2930.56,2540.45,2201.34,1907.33,1652.78,1432.49,1241.84,1076.8,933.898,810.139,702.934,610.047,529.549,459.771,399.275,346.815,301.313,261.835,227.569,197.813,171.961,149.493,129.963,112.985,98.2253,85.394,74.239,64.5411,56.1102,48.7805,42.4084,36.8686,32.0525,27.8655,185.453
1,1,1,1,1,1,1899,1,1899,B,TIME,7308.46,6353.7,5523.7,4802.04,4173.88,3625.84,3146.88,2728.64,2364.47,2048.4,1774.67,1537.79,1332.82,1155.43,1001.88,868.919,753.772,654.026,567.602,492.704,427.781,371.494,322.684,280.348,243.617,211.736,184.05,159.997,139.092,120.92,105.124,91.391,79.4525,69.0736,60.0505,52.2062,45.3865,39.4577,34.3034,29.8223,198.476
